Time,Reit,Preciousmetals,Sandp,Intntlequities,Tenyearbond,Corpbond,Commodities
1993,0.1345,0.1735,0.10047,0.2097,0.1143,0.0707,NA
1994,-0.0576,-0.0209,0.01247,0.0309,-0.0433,-0.0008,NA
1995,0.1872,0.011,0.3746,0.3448,0.2044,0.1274,NA
1996,0.0442,-0.0443,0.22859,0.1765,0.0192,0.0479,NA
1997,0.0929,-0.2174,0.33317,0.2278,0.0896,0.0695,NA
1998,0.0602,-0.0061,0.28544,-0.0181,0.1061,0.0657,NA
1999,-0.0353,0.0118,0.21021,0.3149,-0.0352,0.0331,NA
2000,0.1332,-0.0626,-0.09084,0.0067,0.1403,0.0817,NA
2001,0.0454,0.0141,-0.11869,0.2398,0.0755,0.0814,NA
2002,0.1012,0.2396,-0.2211,0.049,0.1415,0.0522,NA
2003,0.0521,0.2174,0.28562,0.8098,0.0237,0.042,NA
2004,0.0412,0.0497,0.10799,0.1909,0.034,0.0211,NA
2005,0.0307,0.1776,0.04804,0.0408,0.0231,0.022,NA
2006,0.0516,0.2255,0.15669,0.1148,0.0314,0.0499,NA
2007,0.0254,0.3045,0.05391,-0.054,0.0998,0.0586,NA
2008,-0.0487,0.0492,-0.36988,-0.3949,0.1332,-0.0474,-0.5602
2009,0.1408,0.2403,0.26872,0.2596,-0.0169,0.1403,0.7646
2010,0.015,0.2927,0.15026,0.2486,0.0735,0.0521,0.3745
2011,0.1069,0.0957,0.01937,-0.0786,0.0979,0.0193,-0.217
2012,0.0808,0.066,0.15777,0.1983,0.0267,0.0452,-0.1298
2013,-0.0295,-0.2833,0.32249,0.5091,-0.0309,0.0097,-0.3513
2014,0.1107,-0.0219,0.1356,0.0461,0.0432,0.0176,-0.1141
2015,0.0397,-0.1067,0.01316,-0.0828,0.015,0.0103,-0.2942
2016,0.0062,0.0803,0.11879,0.2147,0.0119,0.0275,0.5064
2017,0.0644,0.1281,0.21178,0.1247,0.0159,0.0213,0.1375
